code,term_original,romaji,definition,period_note
bill_note,手形,tegata,Written promise/order to pay; the general Tokugawa bill instrument.,Referent broadens over the Edo period; see logbook 2.
remittance_bill,為替,kawase,Instrument transferring funds between places without shipping specie.,Inter-city (Edo–Osaka–Kyoto) usage dominant in the sample period.
book_transfer,振替,furikae,Settlement by transfer between accounts on a money-changer's books.,Distinct from a negotiable bill; no instrument leaves the house.
money_exchange,両替,ryogae,Exchange of one currency of the sanka system for another at a posted rate.,Rate taken from the ryōgae board; see logbook 5.
